Time,Position,Speed
0.174,-0.0117305,-0.9929
0.175,-0.0127234,-0.990552
0.176,-0.0137139,-0.988035
0.177,-0.014702,-0.985347
0.178,-0.0156873,-0.982488
0.179,-0.0166698,-0.979456
0.18,-0.0176492,-0.976251
0.181,-0.0186255,-0.972871
0.182,-0.0195984,-0.969316
0.183,-0.0205677,-0.965585
0.184,-0.0215333,-0.961678
0.185,-0.0224949,-0.957592
0.186,-0.0234525,-0.953329
0.187,-0.0244059,-0.948886
0.188,-0.0253548,-0.944264
0.189,-0.026299,-0.939462
0.19,-0.0272385,-0.93448
0.191,-0.028173,-0.929317
0.192,-0.0291023,-0.923972
0.193,-0.0300262,-0.918446
0.194,-0.0309447,-0.912737
0.195,-0.0318574,-0.906847
0.196,-0.0327643,-0.900774
0.197,-0.0336651,-0.894519
0.198,-0.0345596,-0.888082
0.199,-0.0354477,-0.881463
0.2,-0.0363291,-0.874661
0.201,-0.0372038,-0.867677
0.202,-0.0380715,-0.860512
0.203,-0.038932,-0.853165
0.204,-0.0397851,-0.845637
0.205,-0.0406308,-0.837928
0.206,-0.0414687,-0.83004
0.207,-0.0422987,-0.821972
0.208,-0.0431207,-0.813725
0.209,-0.0439344,-0.8053
0.21,-0.0447397,-0.796697
0.211,-0.0455364,-0.787919
0.212,-0.0463243,-0.778965
0.213,-0.0471033,-0.769836
0.214,-0.0478731,-0.760535
0.215,-0.0486337,-0.751061
0.216,-0.0493847,-0.741417
0.217,-0.0501262,-0.731603
0.218,-0.0508578,-0.721621
0.219,-0.0515794,-0.711472
0.22,-0.0522909,-0.701159
0.221,-0.052992,-0.690682
0.222,-0.0536827,-0.680044
0.223,-0.0543627,-0.669246
0.224,-0.055032,-0.658291
0.225,-0.0556903,-0.647179
0.226,-0.0563375,-0.635914
0.227,-0.0569734,-0.624497
0.228,-0.0575979,-0.61293
0.229,-0.0582108,-0.601216
0.23,-0.058812,-0.589357
0.231,-0.0594014,-0.577356
0.232,-0.0599787,-0.565215
0.233,-0.0605439,-0.552937
0.234,-0.0610969,-0.540523
0.235,-0.0616374,-0.527978
0.236,-0.0621654,-0.515303
0.237,-0.0626807,-0.502502
0.238,-0.0631832,-0.489578
0.239,-0.0636728,-0.476533
0.24,-0.0641493,-0.46337
