Time,Position,Speed
0.0,0.1,-0.007683200000000001,
0.001,0.09999231680000001,-0.015362417029120001,
0.002,0.09997695438297088,-0.023037327043653865,
0.003,0.09995391705592722,-0.030707605014238637,
0.004,0.09992320945091299,-0.03837292484219023,
0.005,0.0998848365260708,-0.046032959276020774,
0.006,0.09983880356679478,-0.05368737982813926,
0.007,0.09978511618696664,-0.0613358566917375,
0.008,0.0997237803302749,-0.06897805865786406,
0.009000000000000001,0.09965480227161704,-0.07661365303268919,
0.01,0.09957818861858435,-0.08424230555496443,
0.011,0.09949394631302938,-0.09186368031368113,
0.012,0.0994020826327157,-0.09947743966593264,
0.013000000000000001,0.09930260519304977,-0.10708324415498562,
0.014,0.09919552194889479,-0.1146807524285664,
0.015,0.09908084119646622,-0.12226962115736935,
0.016,0.09895857157530885,-0.1298495049537943,
0.017,0.09882872207035506,-0.13742005629092138,
0.018000000000000002,0.09869130201406415,-0.14498092542173188,
0.019,0.09854632108864242,-0.15253176029858478,
0.02,0.09839378932834383,-0.16007220649295917,
0.021,0.09823371712185087,-0.16760190711547374,
0.022,0.0980661152147354,-0.1751205027361952,
0.023,0.0978909947119992,-0.18262763130524834,
0.024,0.09770836708069396,-0.19012292807374126,
0.025,0.09751824415262021,-0.19760602551502043,
0.026000000000000002,0.09732063812710519,-0.20507655324627058,
0.027,0.09711556157385892,-0.21253413795047602,
0.028,0.09690302743590845,-0.21997840329876034,
0.029,0.09668304903260969,-0.22740896987312278,
0.03,0.09645564006273656,-0.23482545508959027,
0.031,0.09622081460764698,-0.24222747312180531,
0.032,0.09597858713452517,-0.2496146348250709,
0.033,0.0957289724997001,-0.25698654766087453,
0.034,0.09547198595203922,-0.26434281562191453,
0.035,0.0952076431364173,-0.271683039157653,
0.036000000000000004,0.09493596009725964,-0.27900681510042086,
0.037,0.09465695328215923,-0.2863137365921013,
0.038,0.09437063954556713,-0.29360339301141936,
0.039,0.09407703615255571,-0.30087536990186636,
0.04,0.09377616078265384,-0.30812924890028925,
0.041,0.09346803153375355,-0.3153646076661756,
0.042,0.09315266692608737,-0.32258101981166665,
0.043000000000000003,0.0928300859062757,-0.3297780548323327,
0.044,0.09250030785144336,-0.33695527803874387,
0.045,0.09216335257340462,-0.34411225048887406,
0.046,0.09181924032291575,-0.3512485289213738,
0.047,0.09146799179399437,-0.35836366568975164,
0.048,0.09110962812830461,-0.3654572086975027,
0.049,0.09074417091960711,-0.37252870133422655,
0.05,0.09037164221827289,-0.3795776824127759,
0.051000000000000004,0.08999206453586012,-0.38660368610748,
0.052000000000000005,0.08960546084975264,-0.3936062418934881,
0.053,0.08921185460785916,-0.40058487448727814,
0.054,0.08881126973337188,-0.40753910378838004,
0.055,0.0884037306295835,-0.4144684448223607,
0.056,0.08798926218476114,-0.42137240768512235,
0.057,0.08756788977707601,-0.4282504974885651,
0.058,0.08713963927958744,-0.43510221430766693,
0.059000000000000004,0.08670453706527978,-0.44192705312903596,
0.06,0.08626261001215074,-0.4487245038009895,
0.061,0.08581388550834976,-0.4554940509852182,
0.062,0.08535839145736454,-0.46223517411009307,
0.063,0.08489615628325445,-0.4689473473256747,
0.064,0.08442720893592877,-0.47563003946048704,
0.065,0.08395157889646829,-0.48228271398011646,
0.066,0.08346929618248818,-0.4889048289477014,
0.067,0.08298039135354048,-0.4954958369863765,
0.068,0.0824848955165541,-0.5020551852437383,
0.069,0.08198284033131036,-0.5085823153583994,
0.07,0.08147425801595196,-0.5150766634287011,
0.07100000000000001,0.08095918135252325,-0.5215376599836533,
0.07200000000000001,0.0804376436925396,-0.5279647299561744,
0.073,0.07990967896258343,-0.5343572926587026,
0.074,0.07937532166992473,-0.5407147617612534,
0.075,0.07883460690816348,-0.5470365452719979,
0.076,0.07828757036289148,-0.5533220455204375,
0.077,0.07773424831737104,-0.5595706591432534,
0.078,0.07717467765822779,-0.5657817770729078,
0.079,0.07660889588115488,-0.5719547845290772,
0.08,0.0760369410966258,-0.5780890610129981,
0.081,0.0754588520356128,-0.5841839803048051,
0.082,0.07487466805530799,-0.590238910463946,
0.083,0.07428442914484404,-0.5962532138327545,
0.084,0.07368817593101129,-0.602226247043266,
0.085,0.07308594968396802,-0.608157361027361,
0.08600000000000001,0.07247779232294066,-0.6140459010303212,
0.08700000000000001,0.07186374642191033,-0.619891206627885,
0.088,0.07124385521528245,-0.625692611746888,
0.089,0.07061816260353557,-0.6314494446895769,
0.09,0.06998671315884598,-0.6371610281616851,
0.091,0.0693495521306843,-0.6428266793043558,
0.092,0.06870672545137994,-0.6484457097300039,
0.093,0.06805827974164994,-0.6540174255622041,
0.094,0.06740426231608773,-0.6595411274796938,
0.095,0.06674472118860804,-0.665016110764582,
0.096,0.06607970507784346,-0.67044166535485,
0.097,0.06540926341248861,-0.6758170759012371,
0.098,0.06473344633658737,-0.6811416218285968,
0.099,0.06405230471475877,-0.6864145774018144,
0.1,0.06336589013735695,-0.6916352117963728,
0.101,0.06267425492556059,-0.6968027891736563,
0.10200000000000001,0.06197745213638693,-0.7019165687610787,
0.10300000000000001,0.061275535567625855,-0.7069758049371214,
0.10400000000000001,0.06056855976268873,-0.711979747321371,
0.105,0.05985658001536736,-0.7169276408696376,
0.106,0.059139652374497725,-0.72181872597424,
0.107,0.05841783364852349,-0.7266522385695418,
0.108,0.05769118140995395,-0.7314274102428173,
0.109,0.05695975399971113,-0.7361434683505312,
0.11,0.056223610531360595,-0.7407996361401078,
0.111,0.05548281089522049,-0.7453951328772696,
0.112,0.05473741576234322,-0.7499291739790198,
